1password 8.11.22-27
a52dec 0.8.0-2
abseil-cpp 20250814.1-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-3
acl 2.3.2-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
alsa-card-profiles 1:1.4.10-2
alsa-firmware 1.2.4-4
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-2
amd-ucode 20260110-1
aom 3.13.1-2
apparmor 4.1.6-1
appstream 1.1.2-1
appstream-qt 1.1.2-1
aquamarine 0.10.0-2
archlinux-appstream-data 20260107-1
archlinux-keyring 20260206-1
asdf-vm 0.18.0-1
aspell 0.60.8.2-1
atkmm 2.28.4-1
at-spi2-core 2.58.3-1
attica 6.23.0-1
attr 2.5.2-1
audit 4.1.2-2
aurorae 6.6.0-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc3-1
ayatana-ido 0.10.4-1
b43-fwcutter 019-6
baloo 6.23.0-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bash-completion 2.17.0-3
bcc 0.36.1-1
bind 9.20.18-1
binutils 2.46-1
bison 3.8.2-8
blas 3.12.1-2
bluedevil 1:6.6.0-1
blueman 2.4.6-2
bluez 5.86-2
bluez-libs 5.86-2
bluez-qt 6.23.0-1
bluez-utils 5.86-2
bolt 0.9.10-1
boost-libs 1.89.0-4
breeze 6.6.0-2
breeze-cursors 6.6.0-2
breeze-gtk 6.6.0-1
breeze-icons 6.23.0-1
breeze-plymouth 6.6.0-1
brotli 1.2.0-1
btop 1.4.6-1
btrfs-progs 6.19-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
cabextract 1.11-2
ca-certificates 20240618-1
ca-certificates-mozilla 3.120.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-2
cairomm-1.16 1.18.0-2
cantarell-fonts 1:0.311-1
cblas 3.12.1-2
cdparanoia 10.2-9
chromaprint 1.6.0-2
cifs-utils 7.4-1
clang 21.1.8-1
clinfo 3.0.23.01.25-1
cliphist 1:0.7.0-2
compiler-rt 21.1.8-1
composefs 1.0.8-1
convertlit 1.8-13
coreutils 9.10-1
cpio 2.15-3
cpupower 6.19-2
cryptsetup 2.8.4-1
curl 8.18.0-3
cython 3.2.4-3
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
ddcutil 2.2.5-2
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.38-1
diffutils 3.12-2
ding-libs 0.6.2-2
discord 1:0.0.125-1
discount 3.0.1.2-1
discover 6.6.0-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.92-1
dnssec-anchors 20250524-1
dosfstools 4.2-5
double-conversion 3.4.0-1
downgrade 11.8.0-1
dracut 109_eos-1
drkonqi 6.6.0-1
duf 0.9.1-1
duktape 2.7.0-7
e2fsprogs 1.47.3-2
ebook-tools 0.2.2-9
editorconfig-core-c 0.12.10-1
efibootmgr 18-3
efitools 1.9.2-6
efivar 39-1
eglexternalplatform 1.2.1-1
egl-gbm 1.1.3-1
egl-wayland2 1.0.0.rc.r57.g1893c37-1
egl-wayland 4:1.1.21-1
egl-x11 1.0.4-1
elfutils 0.194-1
ell 0.82-1
enchant 2.8.14-1
endeavouros-branding 25.11.1.1-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 26-1
eos-apps-info 25.12-1
eos-bash-shared 26.1.1-1
eos-dracut 1.7-1
eos-hooks 1.16.2-1
eos-log-tool 25.10-1
eos-packagelist 2.3.1-2
eos-qogir-icons 2025.02.15-3
